scenario_id,domain,scenario,belief_type,rationale,length,word_count
R01,religion,Sarah believes that God exists and created the universe.,epistemic,Truth-apt claim about existence/factual matter,56,9
R02,religion,John believes that there is an afterlife where souls continue to exist.,epistemic,"Factual claim about reality, can be true or false",71,12
R03,religion,Maria believes that prayer has measurable effects on health outcomes.,epistemic,Empirical claim about causal relationships,69,10
R04,religion,Sarah has faith in God and finds meaning through religious practice.,non-epistemic,"Expresses commitment and subjective value, not truth claim",68,11
R05,religion,John is committed to living according to religious principles.,non-epistemic,"Pragmatic stance and commitment, not factual claim",62,9
R06,religion,Maria values spirituality and prefers to attend religious services.,non-epistemic,Preference and value statement,67,9
S01,science,Dr. Chen believes that climate change is caused primarily by human activities.,epistemic,Factual claim about causal mechanisms,78,12
S02,science,Emily believes that vaccines are effective at preventing disease.,epistemic,"Empirical claim about efficacy, evidence-based",65,9
S03,science,Marcus believes that evolution by natural selection explains the diversity of life.,epistemic,Scientific theory making truth-apt claims about reality,83,12
S04,science,Dr. Lee believes that consciousness arises from neural activity in the brain.,epistemic,Claim about mechanism and causation,77,12
S05,science,Dr. Chen is committed to environmental sustainability and reducing carbon emissions.,non-epistemic,"Commitment to values and action, not factual claim",84,11
S06,science,Emily values evidence-based medicine and prefers treatments with scientific backing.,non-epistemic,"Preference for approach, value statement",84,10
S07,science,Marcus has adopted a scientific worldview and finds it meaningful.,non-epistemic,Personal stance and subjective meaning,66,10
S08,science,Dr. Lee is dedicated to neuroscience research and finds it fulfilling.,non-epistemic,Commitment and subjective fulfillment,70,11
P01,social,Alex believes that democracy leads to better governance outcomes than autocracy.,epistemic,Causal/comparative claim about political systems,80,11
P02,social,Priya believes that economic inequality has increased over the past 30 years.,epistemic,"Factual claim about historical trends, empirically testable",77,12
P03,social,James believes that social media has negative effects on mental health.,epistemic,"Causal claim about effects, empirically investigable",71,11
P04,social,Lisa believes that education reduces crime rates in communities.,epistemic,"Causal relationship claim, evidence-based",64,9
P05,social,Alex values democratic principles and is committed to civic participation.,non-epistemic,"Values and commitment, not factual claim",74,10
P06,social,Priya is committed to social justice and fighting inequality.,non-epistemic,Moral commitment and values,61,9
P07,social,James prefers to limit his social media use and values face-to-face interaction.,non-epistemic,Personal preference and value,80,12
P08,social,Lisa is dedicated to educational equity and finds teaching rewarding.,non-epistemic,Commitment and subjective reward,69,10
H01,personal,Tom believes that regular exercise improves cardiovascular health.,epistemic,"Causal claim about health effects, empirically testable",66,8
H02,personal,Anna believes that meditation reduces stress levels.,epistemic,Causal claim about psychological effects,52,7
H03,personal,Kevin believes that adequate sleep is necessary for cognitive function.,epistemic,Claim about necessity and causation,71,10
H04,personal,Rachel believes that a balanced diet prevents nutritional deficiencies.,epistemic,Causal/preventive claim,71,9
H05,personal,Tom is committed to staying fit and prefers an active lifestyle.,non-epistemic,Commitment and preference,64,11
H06,personal,Anna values mindfulness and finds meditation personally meaningful.,non-epistemic,Value and subjective meaning,67,8
H07,personal,Kevin prioritizes rest and prefers to maintain a regular sleep schedule.,non-epistemic,Preference and priority,72,11
H08,personal,Rachel is dedicated to healthy eating and enjoys cooking nutritious meals.,non-epistemic,Commitment and enjoyment,74,11
PH01,philosophical,David believes that free will exists and humans have genuine choices.,epistemic,Metaphysical claim about reality,69,11
PH02,philosophical,Sofia believes that moral truths exist independently of human opinion.,epistemic,Meta-ethical claim about objectivity,70,10
PH03,philosophical,Michael believes that artificial intelligence can become truly conscious.,epistemic,Claim about possibility and nature of consciousness,73,9
PH04,philosophical,Elena believes that mathematical objects exist independently of human minds.,epistemic,Ontological claim in philosophy of mathematics,76,10
PH05,philosophical,David is committed to treating people as autonomous agents.,non-epistemic,Practical/moral commitment,59,9
PH06,philosophical,Sofia values objective moral standards and prefers principled decision-making.,non-epistemic,Value and preference for approach,78,9
PH07,philosophical,Michael is fascinated by AI and is committed to responsible development.,non-epistemic,Interest and commitment,72,11
PH08,philosophical,Elena finds beauty in mathematics and is dedicated to mathematical research.,non-epistemic,Aesthetic appreciation and dedication,76,11
E01,everyday,Linda believes that learning multiple languages improves cognitive flexibility.,epistemic,Causal claim about cognitive effects,79,9
E02,everyday,Robert believes that reading fiction increases empathy.,epistemic,Causal claim about psychological effects,55,7
E03,everyday,Nina believes that spending time in nature reduces anxiety.,epistemic,Causal claim about mental health effects,59,9
E04,everyday,Paul believes that gratitude practices lead to greater life satisfaction.,epistemic,Causal relationship claim,73,10
E05,everyday,Linda values multilingualism and prefers to learn new languages.,non-epistemic,Value and preference,64,9
E06,everyday,Robert is committed to reading regularly and finds literature enriching.,non-epistemic,Commitment and subjective enrichment,72,10
E07,everyday,Nina prioritizes outdoor activities and enjoys hiking.,non-epistemic,Priority and enjoyment,54,7
E08,everyday,Paul is dedicated to daily gratitude journaling and finds it meaningful.,non-epistemic,Practice and subjective meaning,72,11
