scenario_id,model,scenario,ground_truth,predicted,confidence,reasoning,tokens,raw_response
R01,gpt-3.5-turbo,Sarah believes that God exists and created the universe.,epistemic,non-epistemic,high,"The belief that God exists and created the universe falls under the category of non-epistemic belief as it expresses a personal preference, value, or commitment rather than a factual claim about what is true or likely in the world.",362,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""The belief that God exists and created the universe falls under the category of non-epistemic belief as it expresses a personal preference, value, or commitment rather than a factual claim about what is true or likely in the world.""
}"
R02,gpt-3.5-turbo,John believes that there is an afterlife where souls continue to exist.,epistemic,non-epistemic,high,This belief about the existence of an afterlife falls under the category of non-epistemic beliefs as it pertains to a personal preference or existential commitment rather than a factual claim about what is true or likely in reality.,365,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""This belief about the existence of an afterlife falls under the category of non-epistemic beliefs as it pertains to a personal preference or existential commitment rather than a factual claim about what is true or likely in reality.""
}"
R03,gpt-3.5-turbo,Maria believes that prayer has measurable effects on health outcomes.,epistemic,non-epistemic,high,"This belief falls under the category of non-epistemic beliefs as it expresses a personal preference or value regarding the effects of prayer on health outcomes, rather than making a factual claim about reality.",356,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""This belief falls under the category of non-epistemic beliefs as it expresses a personal preference or value regarding the effects of prayer on health outcomes, rather than making a factual claim about reality.""
}"
R04,gpt-3.5-turbo,Sarah has faith in God and finds meaning through religious practice.,non-epistemic,non-epistemic,high,"Sarah's belief in God and finding meaning through religious practice is more about personal preference, value, and commitment rather than a factual claim about what is true or likely. It aligns with the definition of non-epistemic beliefs.",365,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Sarah's belief in God and finding meaning through religious practice is more about personal preference, value, and commitment rather than a factual claim about what is true or likely. It aligns with the definition of non-epistemic beliefs.""
}"
R05,gpt-3.5-turbo,John is committed to living according to religious principles.,non-epistemic,non-epistemic,high,"The belief described in the scenario is about a personal commitment to religious principles, which falls under non-epistemic beliefs related to values and commitments rather than factual claims about reality.",352,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""The belief described in the scenario is about a personal commitment to religious principles, which falls under non-epistemic beliefs related to values and commitments rather than factual claims about reality.""
}"
R06,gpt-3.5-turbo,Maria values spirituality and prefers to attend religious services.,non-epistemic,non-epistemic,high,"Maria's belief in valuing spirituality and preferring to attend religious services is based on personal preference and values, indicating a non-epistemic belief related to her personal commitments and preferences rather than a factual claim about reality.",360,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Maria's belief in valuing spirituality and preferring to attend religious services is based on personal preference and values, indicating a non-epistemic belief related to her personal commitments and preferences rather than a factual claim about reality.""
}"
S01,gpt-3.5-turbo,Dr. Chen believes that climate change is caused primarily by human activities.,epistemic,epistemic,high,"The belief that climate change is caused primarily by human activities is a claim about the causal factors behind a phenomenon in the world, aiming to track or represent reality. It falls under the category of epistemic beliefs as it pertains to what is true or likely in the context of climate change.",377,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""The belief that climate change is caused primarily by human activities is a claim about the causal factors behind a phenomenon in the world, aiming to track or represent reality. It falls under the category of epistemic beliefs as it pertains to what is true or likely in the context of climate change.""
}"
S02,gpt-3.5-turbo,Emily believes that vaccines are effective at preventing disease.,epistemic,epistemic,high,"This belief falls under the category of epistemic beliefs as it makes a claim about the effectiveness of vaccines in preventing disease, which aims to track or represent a truth about the world.",351,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""This belief falls under the category of epistemic beliefs as it makes a claim about the effectiveness of vaccines in preventing disease, which aims to track or represent a truth about the world.""
}"
S03,gpt-3.5-turbo,Marcus believes that evolution by natural selection explains the diversity of life.,epistemic,epistemic,high,"The belief that evolution by natural selection explains the diversity of life is an epistemic belief because it represents a claim about how the diversity of life came to be, aiming to track or represent reality in the natural world.",361,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""The belief that evolution by natural selection explains the diversity of life is an epistemic belief because it represents a claim about how the diversity of life came to be, aiming to track or represent reality in the natural world.""
}"
S04,gpt-3.5-turbo,Dr. Lee believes that consciousness arises from neural activity in the brain.,epistemic,epistemic,high,"The belief that consciousness arises from neural activity in the brain is a claim about how a phenomenon (consciousness) is related to physical processes (neural activity), making it an epistemic belief that aims to track or represent reality.",365,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""The belief that consciousness arises from neural activity in the brain is a claim about how a phenomenon (consciousness) is related to physical processes (neural activity), making it an epistemic belief that aims to track or represent reality.""
}"
S05,gpt-3.5-turbo,Dr. Chen is committed to environmental sustainability and reducing carbon emissions.,non-epistemic,non-epistemic,high,"Dr. Chen's belief in environmental sustainability and reducing carbon emissions is a value-based commitment rather than a claim about what is true or likely. It reflects a personal preference and moral commitment, making it a non-epistemic belief.",366,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Dr. Chen's belief in environmental sustainability and reducing carbon emissions is a value-based commitment rather than a claim about what is true or likely. It reflects a personal preference and moral commitment, making it a non-epistemic belief.""
}"
S06,gpt-3.5-turbo,Emily values evidence-based medicine and prefers treatments with scientific backing.,non-epistemic,non-epistemic,high,"Emily's belief is based on her values and preferences regarding evidence-based medicine, which aligns with the definition of non-epistemic beliefs related to personal preferences and commitments rather than factual claims about truth or reality.",361,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Emily's belief is based on her values and preferences regarding evidence-based medicine, which aligns with the definition of non-epistemic beliefs related to personal preferences and commitments rather than factual claims about truth or reality.""
}"
S07,gpt-3.5-turbo,Marcus has adopted a scientific worldview and finds it meaningful.,non-epistemic,non-epistemic,high,Marcus finding a scientific worldview meaningful reflects a personal value or commitment rather than a claim about what is true or likely. It aligns more with a non-epistemic belief related to his preferences or values.,359,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Marcus finding a scientific worldview meaningful reflects a personal value or commitment rather than a claim about what is true or likely. It aligns more with a non-epistemic belief related to his preferences or values.""
}"
S08,gpt-3.5-turbo,Dr. Lee is dedicated to neuroscience research and finds it fulfilling.,non-epistemic,non-epistemic,high,"Dr. Lee's belief about finding neuroscience research fulfilling is more about personal fulfillment and satisfaction, which aligns with non-epistemic beliefs related to values and preferences rather than factual claims about truth or reality.",361,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Dr. Lee's belief about finding neuroscience research fulfilling is more about personal fulfillment and satisfaction, which aligns with non-epistemic beliefs related to values and preferences rather than factual claims about truth or reality.""
}"
P01,gpt-3.5-turbo,Alex believes that democracy leads to better governance outcomes than autocracy.,epistemic,non-epistemic,high,This belief expresses a preference or value judgment about the type of governance system rather than making a factual claim about reality.,342,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""This belief expresses a preference or value judgment about the type of governance system rather than making a factual claim about reality.""
}"
