scenario_id,domain,scenario,belief_type,rationale,length,word_count,pred_heuristic,human_1,human_2,human_3,human_majority,gpt35_prediction,gpt4_prediction,gpt35_confidence,gpt4_confidence
R01,religion,Sarah believes that God exists and created the universe.,epistemic,Truth-apt claim about existence/factual matter,56,9,epistemic,epistemic,epistemic,epistemic,epistemic,non-epistemic,epistemic,high,high
R02,religion,John believes that there is an afterlife where souls continue to exist.,epistemic,"Factual claim about reality, can be true or false",71,12,epistemic,epistemic,epistemic,epistemic,epistemic,non-epistemic,epistemic,high,high
R03,religion,Maria believes that prayer has measurable effects on health outcomes.,epistemic,Empirical claim about causal relationships,69,10,epistemic,epistemic,epistemic,epistemic,epistemic,non-epistemic,epistemic,high,high
R04,religion,Sarah has faith in God and finds meaning through religious practice.,non-epistemic,"Expresses commitment and subjective value, not truth claim",68,11,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,high,high
R05,religion,John is committed to living according to religious principles.,non-epistemic,"Pragmatic stance and commitment, not factual claim",62,9,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,high,high
R06,religion,Maria values spirituality and prefers to attend religious services.,non-epistemic,Preference and value statement,67,9,non-epistemic,non-epistemic,non-epistemic,epistemic,non-epistemic,non-epistemic,non-epistemic,high,high
S01,science,Dr. Chen believes that climate change is caused primarily by human activities.,epistemic,Factual claim about causal mechanisms,78,12,epistemic,epistemic,non-epistemic,non-epistemic,non-epistemic,epistemic,epistemic,high,high
S02,science,Emily believes that vaccines are effective at preventing disease.,epistemic,"Empirical claim about efficacy, evidence-based",65,9,epistemic,epistemic,epistemic,epistemic,epistemic,epistemic,epistemic,high,high
S03,science,Marcus believes that evolution by natural selection explains the diversity of life.,epistemic,Scientific theory making truth-apt claims about reality,83,12,epistemic,epistemic,epistemic,epistemic,epistemic,epistemic,epistemic,high,high
S04,science,Dr. Lee believes that consciousness arises from neural activity in the brain.,epistemic,Claim about mechanism and causation,77,12,epistemic,epistemic,epistemic,epistemic,epistemic,epistemic,epistemic,high,high
S05,science,Dr. Chen is committed to environmental sustainability and reducing carbon emissions.,non-epistemic,"Commitment to values and action, not factual claim",84,11,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,high,high
S06,science,Emily values evidence-based medicine and prefers treatments with scientific backing.,non-epistemic,"Preference for approach, value statement",84,10,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,high,high
S07,science,Marcus has adopted a scientific worldview and finds it meaningful.,non-epistemic,Personal stance and subjective meaning,66,10,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,high,high
S08,science,Dr. Lee is dedicated to neuroscience research and finds it fulfilling.,non-epistemic,Commitment and subjective fulfillment,70,11,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,high,high
P01,social,Alex believes that democracy leads to better governance outcomes than autocracy.,epistemic,Causal/comparative claim about political systems,80,11,epistemic,epistemic,epistemic,epistemic,epistemic,non-epistemic,epistemic,high,high
P02,social,Priya believes that economic inequality has increased over the past 30 years.,epistemic,"Factual claim about historical trends, empirically testable",77,12,epistemic,epistemic,epistemic,non-epistemic,epistemic,epistemic,epistemic,high,high
P03,social,James believes that social media has negative effects on mental health.,epistemic,"Causal claim about effects, empirically investigable",71,11,epistemic,epistemic,epistemic,epistemic,epistemic,epistemic,epistemic,high,high
P04,social,Lisa believes that education reduces crime rates in communities.,epistemic,"Causal relationship claim, evidence-based",64,9,epistemic,epistemic,epistemic,epistemic,epistemic,epistemic,epistemic,high,high
P05,social,Alex values democratic principles and is committed to civic participation.,non-epistemic,"Values and commitment, not factual claim",74,10,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,high,high
P06,social,Priya is committed to social justice and fighting inequality.,non-epistemic,Moral commitment and values,61,9,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,high,high
P07,social,James prefers to limit his social media use and values face-to-face interaction.,non-epistemic,Personal preference and value,80,12,non-epistemic,non-epistemic,epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,high,high
P08,social,Lisa is dedicated to educational equity and finds teaching rewarding.,non-epistemic,Commitment and subjective reward,69,10,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,high,high
H01,personal,Tom believes that regular exercise improves cardiovascular health.,epistemic,"Causal claim about health effects, empirically testable",66,8,epistemic,epistemic,epistemic,epistemic,epistemic,epistemic,epistemic,high,high
H02,personal,Anna believes that meditation reduces stress levels.,epistemic,Causal claim about psychological effects,52,7,epistemic,epistemic,epistemic,epistemic,epistemic,epistemic,epistemic,high,high
H03,personal,Kevin believes that adequate sleep is necessary for cognitive function.,epistemic,Claim about necessity and causation,71,10,epistemic,epistemic,epistemic,epistemic,epistemic,epistemic,epistemic,high,high
H04,personal,Rachel believes that a balanced diet prevents nutritional deficiencies.,epistemic,Causal/preventive claim,71,9,epistemic,non-epistemic,epistemic,epistemic,epistemic,epistemic,epistemic,high,high
H05,personal,Tom is committed to staying fit and prefers an active lifestyle.,non-epistemic,Commitment and preference,64,11,non-epistemic,epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,high,high
