scenario_id,model,scenario,ground_truth,predicted,confidence,reasoning,tokens,raw_response
R01,gpt-4,Sarah believes that God exists and created the universe.,epistemic,epistemic,high,"Sarah's belief about the existence of God and the creation of the universe represents a claim about what is true or what exists, which aligns with the definition of an epistemic belief.",352,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Sarah's belief about the existence of God and the creation of the universe represents a claim about what is true or what exists, which aligns with the definition of an epistemic belief.""
}"
R02,gpt-4,John believes that there is an afterlife where souls continue to exist.,epistemic,epistemic,high,"John's belief about the existence of an afterlife is a claim about what exists, which makes it an epistemic belief. It is a belief that can be considered 'truth-apt' as it can be true or false, even though it may be difficult to verify or falsify.",377,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""John's belief about the existence of an afterlife is a claim about what exists, which makes it an epistemic belief. It is a belief that can be considered 'truth-apt' as it can be true or false, even though it may be difficult to verify or falsify.""
}"
R03,gpt-4,Maria believes that prayer has measurable effects on health outcomes.,epistemic,epistemic,high,"Maria's belief is about a factual claim that prayer has measurable effects on health outcomes. This belief can be tested and proven true or false, hence it is an epistemic belief.",352,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Maria's belief is about a factual claim that prayer has measurable effects on health outcomes. This belief can be tested and proven true or false, hence it is an epistemic belief.""
}"
R04,gpt-4,Sarah has faith in God and finds meaning through religious practice.,non-epistemic,non-epistemic,high,"Sarah's belief is based on faith and personal meaning, which are subjective and not primarily about what is objectively true or false. They reflect her values and commitments, not factual claims about reality.",356,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Sarah's belief is based on faith and personal meaning, which are subjective and not primarily about what is objectively true or false. They reflect her values and commitments, not factual claims about reality.""
}"
R05,gpt-4,John is committed to living according to religious principles.,non-epistemic,non-epistemic,high,"John's commitment to living according to religious principles is a personal value or commitment, not a claim about what is true or false. It reflects his personal preferences and commitments, not a representation of reality.",356,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""John's commitment to living according to religious principles is a personal value or commitment, not a claim about what is true or false. It reflects his personal preferences and commitments, not a representation of reality.""
}"
R06,gpt-4,Maria values spirituality and prefers to attend religious services.,non-epistemic,non-epistemic,high,"Maria's belief is about her personal values and preferences, not about a factual claim or representation of reality. It is a commitment to a certain way of life and a preference for certain practices, which fits the definition of a non-epistemic belief.",367,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Maria's belief is about her personal values and preferences, not about a factual claim or representation of reality. It is a commitment to a certain way of life and a preference for certain practices, which fits the definition of a non-epistemic belief.""
}"
S01,gpt-4,Dr. Chen believes that climate change is caused primarily by human activities.,epistemic,epistemic,high,"Dr. Chen's belief about climate change is a claim about what is true or likely in the world, specifically regarding the causes of climate change. It is therefore an epistemic belief, as it aims to represent reality.",363,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Dr. Chen's belief about climate change is a claim about what is true or likely in the world, specifically regarding the causes of climate change. It is therefore an epistemic belief, as it aims to represent reality.""
}"
S02,gpt-4,Emily believes that vaccines are effective at preventing disease.,epistemic,epistemic,high,"Emily's belief is about a factual claim regarding the effectiveness of vaccines at preventing disease, which can be proven true or false. Therefore, it is an epistemic belief.",349,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Emily's belief is about a factual claim regarding the effectiveness of vaccines at preventing disease, which can be proven true or false. Therefore, it is an epistemic belief.""
}"
S03,gpt-4,Marcus believes that evolution by natural selection explains the diversity of life.,epistemic,epistemic,high,"Marcus's belief is about a factual claim concerning the explanation for the diversity of life. It is a belief that can be true or false and aims to represent reality, fitting the definition of an epistemic belief.",360,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Marcus's belief is about a factual claim concerning the explanation for the diversity of life. It is a belief that can be true or false and aims to represent reality, fitting the definition of an epistemic belief.""
}"
S04,gpt-4,Dr. Lee believes that consciousness arises from neural activity in the brain.,epistemic,epistemic,high,"Dr. Lee's belief is about what is true or exists in the world, specifically the nature of consciousness and its relation to neural activity. This makes it an epistemic belief.",355,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Dr. Lee's belief is about what is true or exists in the world, specifically the nature of consciousness and its relation to neural activity. This makes it an epistemic belief.""
}"
S05,gpt-4,Dr. Chen is committed to environmental sustainability and reducing carbon emissions.,non-epistemic,non-epistemic,high,"Dr. Chen's commitment to environmental sustainability and reducing carbon emissions is a value or commitment, not a factual claim about reality. It reflects what Dr. Chen values and is committed to, not what she believes is factually true or false.",367,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Dr. Chen's commitment to environmental sustainability and reducing carbon emissions is a value or commitment, not a factual claim about reality. It reflects what Dr. Chen values and is committed to, not what she believes is factually true or false.""
}"
S06,gpt-4,Emily values evidence-based medicine and prefers treatments with scientific backing.,non-epistemic,non-epistemic,high,"Emily's belief is about her personal preference and value for evidence-based medicine and treatments with scientific backing, not a claim about what is true or false.",348,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Emily's belief is about her personal preference and value for evidence-based medicine and treatments with scientific backing, not a claim about what is true or false.""
}"
S07,gpt-4,Marcus has adopted a scientific worldview and finds it meaningful.,non-epistemic,non-epistemic,high,"The belief described is about Marcus's personal preference or commitment to a scientific worldview, not a factual claim about reality. Therefore, it is a non-epistemic belief.",352,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""The belief described is about Marcus's personal preference or commitment to a scientific worldview, not a factual claim about reality. Therefore, it is a non-epistemic belief.""
}"
S08,gpt-4,Dr. Lee is dedicated to neuroscience research and finds it fulfilling.,non-epistemic,non-epistemic,high,"The belief described is about Dr. Lee's personal commitment and value towards neuroscience research, which is fulfilling for him. It does not represent a claim about what is true or exists, but rather expresses a personal preference and commitment.",364,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""The belief described is about Dr. Lee's personal commitment and value towards neuroscience research, which is fulfilling for him. It does not represent a claim about what is true or exists, but rather expresses a personal preference and commitment.""
}"
P01,gpt-4,Alex believes that democracy leads to better governance outcomes than autocracy.,epistemic,epistemic,high,"Alex's belief is about a factual claim concerning the outcomes of different forms of governance. It is truth-apt and aims to represent reality, thus fitting the definition of an epistemic belief.",356,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Alex's belief is about a factual claim concerning the outcomes of different forms of governance. It is truth-apt and aims to represent reality, thus fitting the definition of an epistemic belief.""
}"
P02,gpt-4,Priya believes that economic inequality has increased over the past 30 years.,epistemic,epistemic,high,"Priya's belief is about a factual claim regarding economic conditions over a specific period of time. It is a belief that can be verified as true or false based on empirical data, hence it is an epistemic belief.",364,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Priya's belief is about a factual claim regarding economic conditions over a specific period of time. It is a belief that can be verified as true or false based on empirical data, hence it is an epistemic belief.""
}"
